year,month,period,region,fuel_switched_from,hp_type,total_installs,cleanbc_rebate_installs,utility_rebate_installs,self_funded_installs,market_rate_installs,low_mid_income_installs,est_ghg_avoided_tco2e_yr,est_annual_energy_savings_cad,cumulative_stock_province,bc_total_households,penetration_pct
2018,1,2018-01,Lower Mainland,natural_gas,mini_split,128,5,28,95,104,24,268.8,125440,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,natural_gas,central_ducted,101,4,22,75,82,19,212.1,98980,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,natural_gas,ground_source,10,0,2,8,8,2,21.0,9800,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,natural_gas,water_heater,26,1,5,20,21,5,54.6,25480,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,oil,mini_split,28,1,6,21,22,6,128.8,39760,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,oil,central_ducted,22,0,4,18,18,4,101.2,31240,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,oil,ground_source,2,0,0,2,1,1,9.2,2840,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,oil,water_heater,6,0,1,5,4,2,27.6,8520,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,propane,mini_split,21,0,4,17,17,4,67.2,24780,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,propane,central_ducted,17,0,3,14,13,4,54.4,20060,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,propane,ground_source,1,0,0,1,0,1,3.2,1180,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,propane,water_heater,4,0,0,4,3,1,12.8,4720,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,electric_baseboard,mini_split,75,3,16,56,61,14,30.0,23250,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,electric_baseboard,central_ducted,60,2,13,45,49,11,24.0,18600,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,electric_baseboard,ground_source,6,0,1,5,4,2,2.4,1860,122281,1850000,6.61
2018,1,2018-01,Lower Mainland,electric_baseboard,water_heater,15,0,3,12,12,3,6.0,4650,122281,1850000,6.61
2018,1,2018-01,Vancouver Island,natural_gas,mini_split,55,2,12,41,45,10,115.5,53900,122281,1850000,6.61
2018,1,2018-01,Vancouver Island,natural_gas,central_ducted,44,1,9,34,36,8,92.4,43120,122281,1850000,6.61
2018,1,2018-01,Vancouver Island,natural_gas,ground_source,4,0,0,4,3,1,8.4,3920,122281,1850000,6.61
2018,1,2018-01,Vancouver Island,natural_gas,water_heater,11,0,2,9,9,2,23.1,10780,122281,1850000,6.61
2018,1,2018-01,Vancouver Island,oil,mini_split,13,0,2,11,10,3,59.8,18460,122281,1850000,6.61
2018,1,2018-01,Vancouver Island,oil,central_ducted,11,0,2,9,9,2,50.6,15620,122281,1850000,6.61
2018,1,2018-01,Vancouver Island,oil,ground_source,1,0,0,1,0,1,4.6,1420,122281,1850000,6.61
2018,1,2018-01,Vancouver Island,oil,water_heater,2,0,0,2,1,1,9.2,2840,122281,1850000,6.61
2018,1,2018-01,Vancouver Island,propane,mini_split,8,0,1,7,6,2,25.6,9440,122281,1850000,6.61
2018,1,2018-01,Vancouver Island,propane,central_ducted,6,0,1,5,4,2,19.2,7080,122281,1850000,6.61
